Date, Open, High, Low, Close, Volume
03/22/18, 25.00, 25.25, 25.00, 25.00, 2200
03/21/18, 25.00, 26.00, 25.00, 25.00, 20300
03/20/18, 26.00, 26.00, 26.00, 26.00, 5300
03/19/18, 25.50, 25.50, 25.50, 25.50, 1000
03/16/18, 25.25, 25.25, 25.25, 25.25, 20000
03/15/18, 25.00, 25.50, 25.00, 25.00, 2200
03/14/18, 24.50, 25.00, 24.50, 24.50, 3400
03/13/18, 25.00, 25.50, 25.00, 25.00, 8200
03/12/18, 24.50, 25.50, 24.50, 24.50, 5600
03/09/18, 25.00, 25.75, 24.50, 25.00, 9400
03/08/18, 25.50, 26.25, 25.50, 25.50, 20200
03/07/18, 26.00, 26.25, 26.00, 26.00, 5000
03/06/18, 26.00, 26.25, 25.50, 26.00, 900
03/05/18, 25.00, 27.00, 25.00, 25.00, 61100
03/02/18, 27.00, 27.25, 26.50, 27.00, 2600
03/01/18, 27.00, 27.00, 27.00, 27.00, 10300
02/28/18, 26.75, 27.00, 26.00, 26.75, 22900
02/27/18, 26.25, 26.50, 26.00, 26.25, 14800
02/26/18, 26.25, 27.00, 25.00, 26.25, 1900
02/23/18, 26.25, 27.25, 25.50, 26.25, 5600
02/22/18, 25.75, 26.00, 25.50, 25.75, 3500
02/21/18, 25.50, 25.50, 25.50, 25.50, 1100
02/20/18, 26.50, 27.00, 25.50, 26.50, 2100
02/19/18, 26.50, 27.00, 25.00, 26.50, 4700
02/16/18, 26.25, 26.50, 25.00, 26.25, 6400
02/15/18, 25.00, 26.50, 24.50, 25.00, 4800
02/14/18, 24.50, 26.25, 24.50, 24.50, 15700
02/13/18, 26.75, 27.00, 26.25, 26.75, 2600
02/12/18, 26.25, 26.25, 26.25, 26.25, 2100
02/09/18, 26.25, 27.00, 26.00, 26.25, 1400
02/08/18, 26.50, 26.50, 26.50, 26.50, 300
02/07/18, 25.00, 26.50, 25.00, 25.00, 13400
02/06/18, 26.00, 26.50, 26.00, 26.00, 15100
02/05/18, 26.00, 26.75, 26.00, 26.00, 4700
02/02/18, 26.50, 26.75, 25.75, 26.50, 2200
02/01/18, 26.25, 26.50, 25.25, 26.25, 5300
01/31/18, 26.00, 26.00, 26.00, 26.00, 48000
01/30/18, 26.00, 26.50, 26.00, 26.00, 3800
01/29/18, 26.25, 26.75, 26.25, 26.25, 3400
01/26/18, 26.25, 27.00, 25.50, 26.25, 18700
01/25/18, 25.50, 26.00, 25.50, 25.50, 24100
01/24/18, 25.50, 26.50, 25.25, 25.50, 1600
01/23/18, 25.25, 26.50, 25.00, 25.25, 22600
01/22/18, 25.00, 26.50, 25.00, 25.00, 27100
01/19/18, 26.75, 27.00, 26.50, 26.75, 4200
01/18/18, 27.25, 27.75, 27.00, 27.25, 8100
01/16/18, 26.00, 27.00, 25.75, 26.00, 4100
01/15/18, 25.50, 26.50, 25.50, 25.50, 4300
01/12/18, 25.25, 26.00, 25.00, 25.25, 2800
01/11/18, 27.00, 27.75, 25.25, 27.00, 3000
01/10/18, 27.75, 28.00, 27.25, 27.75, 11500
01/09/18, 28.00, 29.50, 27.00, 28.00, 18000
01/08/18, 27.00, 27.75, 27.00, 27.00, 1600
01/05/18, 26.00, 26.00, 26.00, 26.00, 200
01/04/18, 26.75, 27.00, 25.75, 26.75, 10500
01/03/18, 25.00, 26.75, 25.00, 25.00, 1300
01/02/18, 27.00, 27.50, 27.00, 27.00, 300
12/29/17, 29.50, 30.00, 29.50, 29.50, 2600
12/28/17, 31.25, 32.00, 30.00, 31.25, 700
12/22/17, 29.25, 30.00, 29.00, 29.25, 1600
12/21/17, 27.75, 31.00, 26.25, 27.75, 700
12/20/17, 28.25, 31.00, 26.00, 28.25, 5100
12/19/17, 28.50, 30.00, 28.00, 28.50, 2900
12/18/17, 28.00, 28.00, 28.00, 28.00, 2400
12/15/17, 27.00, 27.00, 27.00, 27.00, 2800
12/14/17, 26.00, 27.00, 26.00, 26.00, 104600
12/13/17, 27.00, 27.00, 27.00, 27.00, 100
